NAME,total_pop,median_income,pov_universe,pov_below,hh_total,hh_no_vehicle,state,county,tract,geoid
"Census Tract 7310.01, Worcester County, Massachusetts",2203,75236.0,2153,149,787,55,25,027,731001,25027731001
"Census Tract 7095.01, Worcester County, Massachusetts",2118,104583.0,2118,70,740,6,25,027,709501,25027709501
"Census Tract 7095.02, Worcester County, Massachusetts",5839,75089.0,5758,231,2378,141,25,027,709502,25027709502
"Census Tract 7211.01, Worcester County, Massachusetts",1833,88571.0,1829,81,688,24,25,027,721101,25027721101
"Census Tract 7211.02, Worcester County, Massachusetts",8685,107928.0,8668,255,2885,105,25,027,721102,25027721102
"Census Tract 7310.02, Worcester County, Massachusetts",6138,46630.0,6125,785,2663,460,25,027,731002,25027731002
"Census Tract 7312.03, Worcester County, Massachusetts",5257,24816.0,4729,1661,2313,1040,25,027,731203,25027731203
"Census Tract 7312.04, Worcester County, Massachusetts",2311,36161.0,2304,745,831,104,25,027,731204,25027731204
"Census Tract 7323.02, Worcester County, Massachusetts",4319,49000.0,4292,841,1566,318,25,027,732302,25027732302
"Census Tract 7411.01, Worcester County, Massachusetts",4436,145750.0,4436,114,1655,21,25,027,741101,25027741101
"Census Tract 7411.02, Worcester County, Massachusetts",5685,148594.0,5660,187,1887,8,25,027,741102,25027741102
"Census Tract 7424.01, Worcester County, Massachusetts",5374,202622.0,5374,145,1704,0,25,027,742401,25027742401
"Census Tract 7424.02, Worcester County, Massachusetts",4200,126683.0,4200,209,1501,114,25,027,742402,25027742402
"Census Tract 7471.01, Worcester County, Massachusetts",5519,102522.0,5519,166,2079,35,25,027,747101,25027747101
"Census Tract 7471.02, Worcester County, Massachusetts",3744,83063.0,3711,186,1447,136,25,027,747102,25027747102
"Census Tract 7511.01, Worcester County, Massachusetts",6571,104291.0,6571,179,2273,105,25,027,751101,25027751101
"Census Tract 7511.02, Worcester County, Massachusetts",2873,106635.0,2873,89,1153,19,25,027,751102,25027751102
"Census Tract 7581.01, Worcester County, Massachusetts",1606,66250.0,1606,101,668,24,25,027,758101,25027758101
"Census Tract 7581.02, Worcester County, Massachusetts",7933,84926.0,7933,423,2951,151,25,027,758102,25027758102
"Census Tract 7612, Worcester County, Massachusetts",5506,83417.0,5311,256,2135,173,25,027,761200,25027761200
"Census Tract 7613, Worcester County, Massachusetts",3259,92540.0,3211,221,1261,11,25,027,761300,25027761300
"Census Tract 7614, Worcester County, Massachusetts",6569,156667.0,5473,186,1864,0,25,027,761400,25027761400
"Census Tract 7181, Worcester County, Massachusetts",4623,97591.0,4604,175,1799,42,25,027,718100,25027718100
"Census Tract 7283, Worcester County, Massachusetts",4642,93854.0,4501,120,1808,97,25,027,728300,25027728300
"Census Tract 7311.02, Worcester County, Massachusetts",2233,57475.0,2233,337,1033,70,25,027,731102,25027731102
"Census Tract 7313, Worcester County, Massachusetts",3893,29028.0,3807,1334,1464,556,25,027,731300,25027731300
"Census Tract 7315, Worcester County, Massachusetts",4412,22975.0,4335,1293,2044,788,25,027,731500,25027731500
"Census Tract 7461, Worcester County, Massachusetts",6115,125945.0,6097,75,2059,34,25,027,746100,25027746100
"Census Tract 7324, Worcester County, Massachusetts",7146,39969.0,7004,1054,2256,377,25,027,732400,25027732400
"Census Tract 7329.02, Worcester County, Massachusetts",2827,,29,15,5,0,25,027,732902,25027732902
"Census Tract 7392, Worcester County, Massachusetts",6695,80317.0,6695,422,2726,277,25,027,739200,25027739200
"Census Tract 7451, Worcester County, Massachusetts",5947,108294.0,5891,238,2181,146,25,027,745100,25027745100
"Census Tract 7481, Worcester County, Massachusetts",3256,79129.0,3243,233,1241,82,25,027,748100,25027748100
"Census Tract 7521, Worcester County, Massachusetts",8859,99943.0,8859,309,3234,104,25,027,752100,25027752100
"Census Tract 7325, Worcester County, Massachusetts",1581,32681.0,1581,617,783,286,25,027,732500,25027732500
"Census Tract 7352, Worcester County, Massachusetts",4538,97250.0,4443,164,1567,45,25,027,735200,25027735200
"Census Tract 7423, Worcester County, Massachusetts",3957,87557.0,3831,260,1729,120,25,027,742300,25027742300
"Census Tract 7443, Worcester County, Massachusetts",4227,55422.0,4227,496,1548,165,25,027,744300,25027744300
"Census Tract 7444, Worcester County, Massachusetts",4385,75000.0,4385,778,1624,190,25,027,744400,25027744400
"Census Tract 7574, Worcester County, Massachusetts",2781,70854.0,2638,311,1098,139,25,027,757400,25027757400
"Census Tract 7011, Worcester County, Massachusetts",8991,78679.0,8796,999,3117,381,25,027,701100,25027701100
"Census Tract 7033, Worcester County, Massachusetts",3641,49592.0,3624,355,1496,142,25,027,703300,25027703300
"Census Tract 7094, Worcester County, Massachusetts",4625,44006.0,4598,1299,1932,341,25,027,709400,25027709400
"Census Tract 7096, Worcester County, Massachusetts",2708,51806.0,2681,379,1039,121,25,027,709600,25027709600
"Census Tract 7108, Worcester County, Massachusetts",4960,38516.0,4430,1692,1589,375,25,027,710800,25027710800
"Census Tract 7221, Worcester County, Massachusetts",5539,69735.0,5399,498,2039,88,25,027,722100,25027722100
"Census Tract 7284, Worcester County, Massachusetts",5093,108676.0,5093,213,1878,39,25,027,728400,25027728400
"Census Tract 7306, Worcester County, Massachusetts",9073,81200.0,7206,570,2998,309,25,027,730600,25027730600
"Census Tract 7319, Worcester County, Massachusetts",4954,34507.0,4921,1518,1938,498,25,027,731900,25027731900
"Census Tract 7320.01, Worcester County, Massachusetts",3884,20806.0,3878,2376,1210,457,25,027,732001,25027732001
"Census Tract 7322.02, Worcester County, Massachusetts",3539,58828.0,3539,337,1383,120,25,027,732202,25027732202
"Census Tract 7327, Worcester County, Massachusetts",3969,33352.0,3945,928,1784,528,25,027,732700,25027732700
"Census Tract 7363, Worcester County, Massachusetts",2408,69338.0,2382,85,1009,72,25,027,736300,25027736300
"Census Tract 7381, Worcester County, Massachusetts",4546,89417.0,4508,208,1786,101,25,027,738100,25027738100
"Census Tract 7329.01, Worcester County, Massachusetts",7141,40167.0,7101,1228,2866,582,25,027,732901,25027732901
"Census Tract 7331.01, Worcester County, Massachusetts",2208,62639.0,2208,295,838,45,25,027,733101,25027733101
"Census Tract 7101, Worcester County, Massachusetts",2875,50882.0,2806,465,1228,108,25,027,710100,25027710100
"Census Tract 7075, Worcester County, Massachusetts",5778,63730.0,4625,491,1951,58,25,027,707500,25027707500
"Census Tract 7561.01, Worcester County, Massachusetts",4699,87530.0,4579,188,1977,187,25,027,756101,25027756101
"Census Tract 7502, Worcester County, Massachusetts",7239,97169.0,7230,279,2667,31,25,027,750200,25027750200
"Census Tract 7541, Worcester County, Massachusetts",6021,81084.0,5912,225,2497,63,25,027,754100,25027754100
"Census Tract 7551, Worcester County, Massachusetts",3351,55195.0,3339,346,1377,72,25,027,755100,25027755100
"Census Tract 7571, Worcester County, Massachusetts",4580,50480.0,4580,969,1894,293,25,027,757100,25027757100
"Census Tract 7601, Worcester County, Massachusetts",3441,70338.0,3441,107,1404,34,25,027,760100,25027760100
"Census Tract 7071, Worcester County, Massachusetts",4082,44083.0,4065,842,1614,279,25,027,707100,25027707100
"Census Tract 7092.01, Worcester County, Massachusetts",7530,76821.0,7478,539,3016,307,25,027,709201,25027709201
"Census Tract 7104, Worcester County, Massachusetts",2302,64125.0,2296,495,848,26,25,027,710400,25027710400
"Census Tract 7131, Worcester County, Massachusetts",8044,93646.0,6642,276,2530,149,25,027,713100,25027713100
"Census Tract 7161, Worcester County, Massachusetts",7728,80731.0,7690,441,2943,91,25,027,716100,25027716100
"Census Tract 7231, Worcester County, Massachusetts",4259,67841.0,4155,473,1676,108,25,027,723100,25027723100
"Census Tract 7309.02, Worcester County, Massachusetts",3998,99052.0,2725,390,1066,68,25,027,730902,25027730902
"Census Tract 7314, Worcester County, Massachusetts",4032,22048.0,3904,1445,1615,705,25,027,731400,25027731400
"Census Tract 7316, Worcester County, Massachusetts",7317,34038.0,4542,1528,2418,999,25,027,731600,25027731600
"Census Tract 7361, Worcester County, Massachusetts",2733,82292.0,2642,46,955,14,25,027,736100,25027736100
